id	name	mark	pass	iq	
1	Steve	65	TRUE	650	
2	Dave	55	TRUE	350	
3	Bob	35	FALSE	200	
4	Clive	20	FALSE	130	
5	Steve	65	TRUE	650	
6	Dave	55	TRUE	350	
7	Bob	35	FALSE	200	
8	Clive	20	FALSE	130	
9	Steve	65	TRUE	650	
10	Dave	55	TRUE	350	
11	Bob	35	FALSE	200	
12	Clive	20	FALSE	130	
13	Steve	65	TRUE	650	
14	Dave	55	TRUE	350	
15	Bob	35	FALSE	200	
16	Clive	20	FALSE	130	
17	Steve	65	TRUE	650	
18	Dave	55	TRUE	350	
19	Bob	35	FALSE	200	
20	Clive	20	FALSE	130	
21	Steve	65	TRUE	650	
22	Dave	55	TRUE	350	
23	Bob	35	FALSE	200	
24	Clive	20	FALSE	130	
25	Steve	65	TRUE	650	
26	Dave	55	TRUE	350	
27	Bob	35	FALSE	200	
28	Clive	20	FALSE	130	
29	Steve	65	TRUE	650	
30	Dave	55	TRUE	350	
31	Bob	35	FALSE	200	
32	Clive	20	FALSE	130	
33	Steve	65	TRUE	650	
34	Dave	55	TRUE	350	
35	Bob	35	FALSE	200	
36	Clive	20	FALSE	130	
37	Steve	65	TRUE	650	
38	Dave	55	TRUE	350	
39	Bob	35	FALSE	200	
40	Clive	20	FALSE	130	
41	Steve	65	TRUE	650	
42	Dave	55	TRUE	350	
43	Bob	35	FALSE	200	
44	Clive	20	FALSE	130	
45	Steve	65	TRUE	650	
46	Dave	55	TRUE	350	
47	Bob	35	FALSE	200	
48	Clive	20	FALSE	130	
49	Steve	65	TRUE	650	
50	Dave	55	TRUE	350	
51	Bob	35	FALSE	200	
52	Clive	20	FALSE	130	
53	Steve	65	TRUE	650	
54	Dave	55	TRUE	350	
55	Bob	35	FALSE	200	
56	Clive	20	FALSE	130	
57	Steve	65	TRUE	650	
58	Dave	55	TRUE	350	
59	Bob	35	FALSE	200	
60	Clive	20	FALSE	130	
61	Steve	65	TRUE	650	
62	Dave	55	TRUE	350	
63	Bob	35	FALSE	200	
64	Clive	20	FALSE	130	
65	Steve	65	TRUE	650	
66	Dave	55	TRUE	350	
67	Bob	35	FALSE	200	
68	Clive	20	FALSE	130	
69	Steve	65	TRUE	650	
70	Dave	55	TRUE	350	
71	Bob	35	FALSE	200	
72	Clive	20	FALSE	130	
