id	name	email	hairColour	height	
1	Steve	s@gmail.com	brown	175	
2	Pete	p@hotmail.co.uk	brown	201	
3	Quentin	q@bluebottle.co.uk	silver	154	
4	Paul	paul@hotmail.com	pink	187	
5	Fran	fran@example.com	pink	150	
6	Kate	NULL	brown	NULL	
7	Steve	s@gmail.com	brown	175	
8	Pete	p@hotmail.co.uk	brown	201	
9	Quentin	q@bluebottle.co.uk	silver	154	
10	Paul	paul@hotmail.com	pink	187	
11	Fran	fran@example.com	pink	150	
12	Kate	NULL	brown	NULL	
13	Steve	s@gmail.com	brown	175	
14	Pete	p@hotmail.co.uk	brown	201	
15	Quentin	q@bluebottle.co.uk	silver	154	
16	Paul	paul@hotmail.com	pink	187	
17	Fran	fran@example.com	pink	150	
18	Kate	NULL	brown	NULL	
