id	name	email	hairColour	height	
1	Steve	s@gmail.com	brown	175	
2	Pete	p@hotmail.co.uk	brown	201	
3	Quentin	q@bluebottle.co.uk	silver	154	
4	Paul	paul@hotmail.com	pink	187	
5	Fran	fran@example.com	pink	150	
6	Kate	NULL	brown	NULL	
7	Steve	s@gmail.com	brown	175	
8	Pete	p@hotmail.co.uk	brown	201	
9	Quentin	q@bluebottle.co.uk	silver	154	
10	Paul	paul@hotmail.com	pink	187	
11	Fran	fran@example.com	pink	150	
12	Kate	NULL	brown	NULL	
13	Steve	s@gmail.com	brown	175	
14	Pete	p@hotmail.co.uk	brown	201	
15	Quentin	q@bluebottle.co.uk	silver	154	
16	Paul	paul@hotmail.com	pink	187	
17	Fran	fran@example.com	pink	150	
18	Kate	NULL	brown	NULL	
19	Steve	s@gmail.com	brown	175	
20	Pete	p@hotmail.co.uk	brown	201	
21	Quentin	q@bluebottle.co.uk	silver	154	
22	Paul	paul@hotmail.com	pink	187	
23	Fran	fran@example.com	pink	150	
24	Kate	NULL	brown	NULL	
25	Steve	s@gmail.com	brown	175	
26	Pete	p@hotmail.co.uk	brown	201	
27	Quentin	q@bluebottle.co.uk	silver	154	
28	Paul	paul@hotmail.com	pink	187	
29	Fran	fran@example.com	pink	150	
30	Kate	NULL	brown	NULL	
31	Steve	s@gmail.com	brown	175	
32	Pete	p@hotmail.co.uk	brown	201	
33	Quentin	q@bluebottle.co.uk	silver	154	
34	Paul	paul@hotmail.com	pink	187	
35	Fran	fran@example.com	pink	150	
36	Kate	NULL	brown	NULL	
37	Steve	s@gmail.com	brown	175	
38	Pete	p@hotmail.co.uk	brown	201	
39	Quentin	q@bluebottle.co.uk	silver	154	
40	Paul	paul@hotmail.com	pink	187	
41	Fran	fran@example.com	pink	150	
42	Kate	NULL	brown	NULL	
43	Steve	s@gmail.com	brown	175	
44	Pete	p@hotmail.co.uk	brown	201	
45	Quentin	q@bluebottle.co.uk	silver	154	
46	Paul	paul@hotmail.com	pink	187	
47	Fran	fran@example.com	pink	150	
48	Kate	NULL	brown	NULL	
49	Steve	s@gmail.com	brown	175	
50	Pete	p@hotmail.co.uk	brown	201	
51	Quentin	q@bluebottle.co.uk	silver	154	
52	Paul	paul@hotmail.com	pink	187	
53	Fran	fran@example.com	pink	150	
54	Kate	NULL	brown	NULL	
